Timestamp:InputSen:LatencyMS:OutputSen:State:EName
3462.849250972271:Europ:5004.755291971378:Non:done:
3462.849250972271:The r:5004.256726009771:Non:done:
5009.602779984474:Actio:5007.228981005028:Non:done:
5009.602779984474:Indee:5006.271994032431:Non:done:
9663.269841969013:A num:2607.5162880006246:一些同:done:
9663.269841969013:Econo:4010.3004880365916:经济 :done:
32928.82124298811:For i:2042.2219149768353:比如,:done:
32928.82124298811:In fa:3872.312072024215:事实上:done:
33400.484843969345:Socia:4812.29790096404:社会排:done:
33400.484843969345:This :5002.741196018178:Non:done:
33564.58848100901:Roofs:5003.211655013729:Non:done:
33564.58848100901:The r:5002.737815957516:Non:done:
35651.31278896332:For t:5002.09458702011:Non:done:
35651.31278896332:What :5001.4793609734625:Non:done:
38509.63775897026:Feedi:5002.481615985744:Non:done:
38509.63775897026:Simil:5001.792996015865:Non:done:
45170.26931399107:He di:1135.939767002128:是的,:done:
45170.26931399107:That :2555.5778249981813:这就是:done:
52872.48143595457:In or:4329.071791027673:为了 :done:
52872.48143595457:With :5003.759925020859:Non:done:
53475.94779098034:The f:5002.530253026634:Non:done:
53475.94779098034:Now U:5003.503724990878:Non:done:
61455.96070897579:But s:1617.7818290307187:但统计:done:
61455.96070897579:So is:2720.8557240082882:同样是:done:
72959.97131496668:In so:1355.5248680058867:在一些:done:
72959.97131496668:Maybe:1778.8367100292817:也许。:done:
73205.23743200302:Nonet:3054.5710879960097:尽管如:done:
73205.23743200302:PRAGU:4781.071776989847:布拉格:done:
78210.80730694532:But, :1607.0447950041853:但是,:done:
78210.80730694532:So, w:2858.773307991214:那么,:done:
98432.15519297123:That :1629.4960049563088:这就是:done:
98432.15519297123:This :3223.9398370147683:这一经:done:
132647.38104701042:Churc:2093.179353978485:丘吉尔:done:
132647.38104701042:Of co:5003.803803003393:Non:done:
133318.95249199867:For s:5003.343396005221:Non:done:
133318.95249199867:SEATT:5002.916359982919:Non:done:
151742.4286749959:After:1168.9614499919116:毕竟,:done:
151742.4286749959:Then,:3823.8992959959432:然后,:done:
152855.31924796104:Close:3753.2593309879303:密切的:done:
152855.31924796104:The b:5001.686642004643:Non:done:
168881.17938697338:For e:1494.4426320143975:例如,:done:
168881.17938697338:Princ:5003.926720004529:Non:done:
173262.16435599327:It wa:5001.804088009521:Non:done:
173262.16435599327:Longe:5001.955921004992:Non:done:
174356.01524198055:He wa:5002.033426018897:Non:done:
174356.01524198055:Pales:5002.097642049193:Non:done:
177997.5282279849:So se:4347.142671991605:因此,:done:
177997.5282279849:These:5003.168496012222:Non:done:
196741.60345101357:Nonet:2040.655555028934:然而,:done:
196741.60345101357:The i:5004.424761049449:Non:done:
201924.6559919715:New Y:1914.9664620053954:纽约政:done:
201924.6559919715:These:3154.8051069839858:这些孩:done:
204895.33636897802:Cherk:1196.122616995126:谢尔凯:done:
204895.33636897802:Thoug:3036.575742997229:虽然我:done:
209887.54016196728:For f:1514.0631740214303:长期以:done:
209887.54016196728:Likew:4077.558997028973:同样,:done:
212254.1036979556:At le:3092.8887799964286:至少从:done:
212254.1036979556:Suppl:5003.281024983153:Non:done:
215229.98171395063:Islam:3105.2610789774917:伊斯兰:done:
215229.98171395063:Who, :4596.124102012254:那么,:done:
217546.4285349846:Accor:4167.997007025406:据欧洲:done:
217546.4285349846:Many :5001.262535981368:Non:done:
221603.54848396778:And w:5002.243622962851:Non:done:
221603.54848396778:Both :5001.603628974408:Non:done:
226802.87741297483:It is:1913.4259090060368:很明显:done:
226802.87741297483:The t:4410.780103004072:像中国:done:
229747.9437659979:Are E:3740.99046603078:欧洲高:done:
229747.9437659979:The U:5003.147213021293:Non:done:
241328.93127202988:But, :1186.5100999712013:但与此:done:
241328.93127202988:This :2116.203102050349:这不是:done:
253509.63573998213:But t:1061.0954019939527:但联邦:done:
253509.63573998213:Moreo:2702.157490013633:此外,:done:
259604.09140199423:As Eu:1679.0350889787078:作为欧:done:
259604.09140199423:For G:3610.224218980875:对于塞:done:
267570.75260698795:Forme:2439.080113021191:前总统:done:
267570.75260698795:The e:3231.531390978489:俄罗斯:done:
274933.1051129699:Trees:1565.8258210169151:树木和:done:
274933.1051129699:Will :2158.8544440455735:贸易会:done:
278114.54546797276:In 19:3679.2409589979798:199:done:
278114.54546797276:SYDNE:5001.158193976153:Non:done:
290285.2861549854:But t:693.0592579883523:但这可:done:
290285.2861549854:That :3066.5851670200936:这一事:done:
290651.60873794556:And, :5003.323803015519:Non:done:
290651.60873794556:With :5003.076417022385:Non:done:
304042.094819963:In fa:2104.433483968023:事实上:done:
304042.094819963:The G:4160.355194006115:八国集:done:
304449.4851579666:In or:5003.862018988002:Non:done:
304449.4851579666:It wo:5003.478364960756:Non:done:
310878.7325320244:Accor:3315.9085329971276:据哈恩:done:
310878.7325320244:And i:4453.417106997222:这并不:done:
322756.47765898705:ATHEN:3331.6502979723737:雅典 :done:
322756.47765898705:Some :5003.724247042555:Non:done:
333786.33389496803:On th:1188.7385869631544:相反,:done:
333786.33389496803:The r:2977.4467939860187:通过 :done:
