Timestamp:InputSen:LatencyMS:OutputSen:State:EName
6922.582180976868:All t:2948.14753200626:所有这些:done:
6922.582180976868:Body :4068.649399036076:组织被“:done:
6922.582180976868:Of co:5005.871232016943:None:done:
6922.582180976868:Out o:5005.757224978879:None:done:
10012.55028295517:All o:5003.3412399934605:None:done:
10012.55028295517:Fatah:5004.3163890368305:None:done:
10012.55028295517:Netan:5004.063953005243:None:done:
10012.55028295517:RABAT:5003.978096996434:None:done:
19320.96467399597:After:5003.515930962749:None:done:
19320.96467399597:But G:5002.886823029257:None:done:
19320.96467399597:Even :5002.682051970623:None:done:
19320.96467399597:Some :5002.329509006813:None:done:
65857.21492898464:In af:4292.924402980134:该 《 :done:
65857.21492898464:Once :5006.047448026948:None:done:
65857.21492898464:Peopl:5006.055468984414:None:done:
65857.21492898464:Those:5005.83469500998:None:done:
66799.58514499664:Indee:5005.760803003795:None:done:
66799.58514499664:Over :5005.5792079656385:None:done:
66799.58514499664:Still:5005.286496016197:None:done:
66799.58514499664:When :5005.02907804912:None:done:
67126.09867793322:By in:5006.01024995558:None:done:
67126.09867793322:Obser:5042.356082005426:None:done:
67126.09867793322:Most :5043.241902953014:None:done:
67126.09867793322:“VICT:5042.617830971722:None:done:
71298.92564499378:Moreo:4327.323596982751:此外,随:done:
71298.92564499378:South:5002.608657989185:None:done:
71298.92564499378:This :5002.194778993726:None:done:
71298.92564499378:Wakin:5001.907425990794:None:done:
77014.32011896372:From :1142.2523279907182:从十年的:done:
77014.32011896372:If wo:2963.0025820224546:如果世界:done:
77014.32011896372:NEW Y:4295.70340400096:纽约 —:done:
77014.32011896372:Not o:5001.4547079917975:None:done:
90334.81713795662:Moreo:2110.9739880193956:此外, :done:
90334.81713795662:Reduc:4038.791443046648:降低欧洲:done:
90334.81713795662:Thus,:5005.705271032639:None:done:
90334.81713795662:Unsur:5005.603877012618:None:done:
105744.1119069457:In ju:2052.575067966245:仅仅在十:done:
105744.1119069457:The i:2894.189671962522:影响的每:done:
105744.1119069457:The l:3687.1850229799747:最后的人:done:
105744.1119069457:This :4676.481883041561:这表明,:done:
106950.56778496504:As lo:5005.5400469573215:None:done:
106950.56778496504:Soon,:5004.426086030435:None:done:
106950.56778496504:But i:5005.689799960237:None:done:
106950.56778496504:Israe:5005.431619996671:None:done:
122909.8783159852:As mu:1763.5537770111114:尽管人们:done:
122909.8783159852:As po:4409.839703002945:随着政治:done:
122909.8783159852:He ca:5005.4372739978135:None:done:
122909.8783159852:Moreo:5005.3014600416645:None:done:
145915.41032093763:But t:1970.4034919850528:但是,我:done:
145915.41032093763:Moreo:4276.9462980213575:此外,扩:done:
145915.41032093763:Notwi:5005.727145005949:None:done:
145915.41032093763:Or a :5005.646075995173:None:done:
146403.99515599012:Can w:5005.23917702958:None:done:
146403.99515599012:If Eu:5004.913848999422:None:done:
146403.99515599012:Meanw:5004.701853962615:None:done:
146403.99515599012:What :5004.616535967216:None:done:
156414.70341795683:Above:1253.7391189835034:最重要的:done:
156414.70341795683:Real :3203.420660982374:2011:done:
156414.70341795683:Techn:4748.89757798519:(在十八:done:
156414.70341795683:Then,:5005.311094981153:None:done:
196850.6695100069:ACT i:1754.7952080494724:ACT正:done:
196850.6695100069:Among:3828.6572790239006:最著名的:done:
196850.6695100069:Recen:5005.885366001166:None:done:
196850.6695100069:What :5005.78437797958:None:done:
265314.8529509306:It is:1387.70800299244:现在轮到:done:
265314.8529509306:Now t:3114.336376020219:现在卡尔:done:
265314.8529509306:Outra:3838.5888510383666:在新闻界:done:
265314.8529509306:So, w:4463.639482972212:那么,为:done:
266656.62925994396:At th:3634.549687965773:一开始就:done:
266656.62925994396:Clear:5004.516112036072:None:done:
266656.62925994396:BRUSS:5005.652638967149:None:done:
266656.62925994396:Elsew:5004.889364005066:None:done:
303520.4702529907:A cre:3943.1233020150103:在萨姆·:done:
303520.4702529907:In th:5006.233029998839:None:done:
303520.4702529907:Why E:5005.746693001129:None:done:
303520.4702529907:Then,:5006.527527992148:None:done:
305738.1254969835:Altho:5006.406006985344:None:done:
305738.1254969835:To be:5005.185595015064:None:done:
305738.1254969835:For e:5006.555847998243:None:done:
305738.1254969835:The c:5006.2762559973635:None:done:
337801.7713969946:Of co:1900.3469890449196:当然,大:done:
337801.7713969946:Some :5006.032650999259:None:done:
337801.7713969946:This :5005.543492967263:None:done:
337801.7713969946:The r:5006.349862960633:None:done:
346558.477093935:Build:2648.8828340079635:构造一个:done:
346558.477093935:But t:5002.718864008784:None:done:
346558.477093935:D’Ama:5002.368553017732:None:done:
346558.477093935:Maybe:5002.19351099804:None:done:
348746.71865200996:Inste:5006.138248019852:None:done:
348746.71865200996:The c:5006.199790048413:None:done:
348746.71865200996:They :5005.966179014649:None:done:
348746.71865200996:We mu:5005.735370039474:None:done:
356023.26897096634:As ou:3147.152674035169:随着我国:done:
356023.26897096634:Conve:5002.649976988323:None:done:
356023.26897096634:The i:5002.304884954356:None:done:
356023.26897096634:When :5002.0653680549:None:done:
393514.03216201067:But t:1567.3865100252442:但忽视这:done:
393514.03216201067:For e:4310.512399999425:例如, :done:
393514.03216201067:Iran’:5005.085969984066:None:done:
393514.03216201067:Moreo:5004.993232025299:None:done:
403880.15397799015:In fa:3026.5404540114105:事实上,:done:
403880.15397799015:It on:4402.388760005124:这只意味:done:
403880.15397799015:It wa:5005.599220981821:None:done:
403880.15397799015:With :5005.516963021364:None:done:
409821.0364269614:Can y:2749.58385998616:你能想象:done:
409821.0364269614:There:3738.7308789766394:有仔细的:done:
409821.0364269614:We kn:5001.863408018835:None:done:
409821.0364269614:“Dada:5001.589810010046:None:done:
419802.51540094614:If it:1151.747305993922:如果这样:done:
419802.51540094614:In 20:3939.5246609929018:在200:done:
419802.51540094614:In se:5003.848569991533:None:done:
419802.51540094614:The d:5003.772324998863:None:done:
424534.4832239747:Calif:2251.4049489982426:加利福尼:done:
424534.4832239747:Denma:5002.45684600668:None:done:
424534.4832239747:For t:5002.691098023206:None:done:
424534.4832239747:The b:5002.5824859621935:None:done:
430483.598706007:He th:4465.420373016968:然后他问:done:
430483.598706007:The k:5002.769996004645:None:done:
430483.598706007:Yet a:5001.896868983749:None:done:
430483.598706007:There:5002.841017965693:None:done:
435113.95902097225:But t:2398.598222003784:但这些人:done:
435113.95902097225:It ca:3078.650709008798:它也无法:done:
435113.95902097225:It st:4245.552820968442:报告指出:done:
435113.95902097225:The r:5004.840376030188:None:done:
443221.9872649312:Launc:2684.1256549814716:2016:done:
443221.9872649312:Moreo:5002.3530760081485:None:done:
443221.9872649312:The p:5002.82060704194:None:done:
443221.9872649312:This :5002.683333004825:None:done:
453617.27301698923:Can Y:704.8856500186957:能拯救也:done:
453617.27301698923:Kids :2379.8412030446343:这些孩子:done:
453617.27301698923:One p:3932.2132900124416:穷人在储:done:
453617.27301698923:Only :5005.259580037091:None:done:
459504.839106977:Ethni:1700.3042279975489:这些国家:done:
459504.839106977:In th:3942.3444449785165:在美国,:done:
459504.839106977:One s:5001.791214977857:None:done:
459504.839106977:While:5001.675662002526:None:done:
482665.99226397276:Coal :1374.037080036942:煤炭是起:done:
482665.99226397276:Giava:2609.0405880240723:贾瓦齐和:done:
482665.99226397276:The d:3705.6463719927706:外交官寻:done:
482665.99226397276:The t:5003.949289035518:None:done:
507031.7290189862:Oil e:1516.4068160229363:石油禁运:done:
507031.7290189862:That :3881.0398900532164:对自20:done:
507031.7290189862:Treat:4738.015095004812:单一的条:done:
507031.7290189862:Witho:5006.24263996724:None:done:
519222.42209500074:Acros:1575.4460550379008:在中东,:done:
519222.42209500074:In th:3876.568513980601:在20世:done:
519222.42209500074:Not s:4935.671522980556:毫不奇怪:done:
519222.42209500074:The l:5005.2158840117045:None:done:
535158.457235992:The e:2174.7606759890914:它背后的:done:
535158.457235992:Thus,:4803.508935961872:因此,对:done:
535158.457235992:Which:5005.809677997604:None:done:
535158.457235992:Why a:5005.846565996762:None:done:
549877.8406630158:Dilan:2195.1567369978875:迪兰和阿:done:
549877.8406630158:In Eu:3065.725327003747:欧洲的趋:done:
549877.8406630158:In ot:4873.116247006692:在 其他:done:
549877.8406630158:Presi:5005.17557002604:None:done:
556237.8493539691:A new:2557.8941549756564:半球的新:done:
556237.8493539691:Moreo:4147.75672898395:而且,听:done:
556237.8493539691:Unles:5001.3003799831495:None:done:
556237.8493539691:Those:5002.301755012013:None:done:
580580.6107079387:BERLI:3675.115038000513:柏林—国:done:
580580.6107079387:The r:4836.07459202176:对最近亚:done:
580580.6107079387:They :5005.369735008571:None:done:
580580.6107079387:To be:5005.1778290071525:None:done:
581313.6079439521:A sin:5006.063755019568:None:done:
581313.6079439521:As He:5005.650061997585:None:done:
581313.6079439521:But e:5004.986602987628:None:done:
581313.6079439521:The a:5004.728808009531:None:done:
608096.7191359401:Greec:1609.0606679790653:希腊债务:done:
