Timestamp:InputSen:LatencyMS:OutputSen:State:EName
4154.295196950436:Given:7607.460037979763:鉴于这:done:
6010.616961956024:Yet t:9221.798913029488:尽管如:done:
11599.84165096283:In bu:3633.0098799662665:在建筑:done:
39519.49846595526:Such :3862.6020930241793:这些规:done:
40084.664191007614:The U:10427.171275019646:美国海:done:
40280.58869099617:It is:10231.65000899462:在 这:done:
42786.79325199127:Swede:8454.06836597249:瑞典应:done:
46218.549093961716:But a:6982.788487977814:但越来:done:
54210.9774799943:So fa:5848.732687998563:到目前:done:
63456.73469096422:This :4652.9152690200135:这可以:done:
64181.12856596708:For m:5663.922364008613:我认为:done:
73754.74791496992:Those:4293.281716003548:那些想:done:
87559.9811809659:If Eu:4951.251863967627:如果欧:done:
87853.72877293825:But I:7606.62312497152:但是,:done:
93861.36719298363:But i:7866.814974986482:但是,:done:
118121.26633995771:Auste:4998.651470988989:紧缩暴:done:
159197.62167298794:But t:5512.534415000118:但暗号:done:
160002.79164594412:·    :5314.008678018581:·具有:done:
182111.2233529091:By an:5402.223322016653:按任何:done:
183441.88978999853:He wa:5981.355683004949:他警告:done:
202678.93691194057:Yet m:6477.872073999606:尽管如:done:
207936.6951059699:If an:6227.086236001924:如果欧:done:
209248.26433897018:Last :8325.682937982492:去年6:done:
213617.53248292208:The c:5372.278484981507:对药品:done:
236110.939062953:Does :4619.628782034852:这是否:done:
242331.54815894365:const:6487.0485800202005:与联合:done:
245899.00965291262:Bush’:5726.647959963884:布什的:done:
251887.156167984:This :12000.546928029507:Non:done:
254726.68310791254:·    :10983.033699041698:·全面:done:
258299.5815809369:While:10043.333376001101:尽管对:done:
261081.10971194506:In th:8685.179157007951:在英国:done:
265947.2056389451:The v:4990.2328589814715:绝大多:done:
272185.97468197346:With :2486.942379968241:消费品:done:
275720.53211796284:If Eu:2848.600641998928:如果欧:done:
289621.56255590916:The e:1486.7432600003667:欧元已:done:
304244.88878697157:I do :1217.8317100042477:我不知:done:
311558.2431039214:Indee:1448.5190470004454:事实上:done:
321120.04017597437:And, :857.2042210143991:事实上:done:
329951.43897396326:Refle:2507.349382969551:根据这:done:
333768.3504989743:This :2003.6156519781798:这一长:done:
348370.8325419426:Today:1011.8826050311327:如今,:done:
348810.6286869645:For w:1508.5984940524213:几个星:done:
364885.5766989589:Meanw:3895.4164530150592:与此同:done:
365374.3505599499:Throu:4752.551726996899:在苏联:done:
373090.26490598917:Thoug:3827.9463610379025:尽管古:done:
387345.84715896845:Hundr:1114.7087429999374:在农村:done:
400586.5509059429:The g:1006.3844010001048:日益认:done:
405906.0534129739:Quant:1497.1277129952796:量化宽:done:
431987.9635839462:Ameri:924.8785569798201:美国盟:done:
437545.05108594894:On al:5213.514464034233:在所有:done:
460873.8060839772:They :2852.449423982762:他们希:done:
471770.8366149664:The a:742.0785300200805:行政部:done:
486641.3970349431:In 19:3287.6514400122687:199:done:
513449.5461809039:Furth:1904.7022580052726:伊拉克:done:
517743.16384494305:They :3827.7290370315313:他们 :done:
530818.0545429587:Tanza:1704.1247599991038:和类似:done:
531723.4713469148:In hi:2954.414669016842:在回忆:done:
540722.2906989455:Some :2164.3370289821178:当然,:done:
545614.9702459574:The p:1805.4095029947348:支持者:done:
586869.4712309241:It is:1259.3537209904753:它是一:done:
597841.9554159641:Yet t:1305.5501639610156:然而,:done:
607082.7125189304:And, :2036.2644430133514:正如海:done:
608309.5303279161:Ukrai:1631.9159530103207:乌克兰:done:
616876.7095859051:China:1863.894550013356:中国领:done:
643966.4597569704:After:2577.4133640225045:在审查:done:
656564.3510069847:They :1707.078676961828:他们开:done:
667704.1933409572:Nonet:3152.971847972367:然而,:done:
668580.4795479178:These:7260.873885999899:这些书:done:
670243.7999589443:From :5597.922519023996:从鱼类:done:
685991.9484279752:Resto:1069.765654974617:恢复英:done:
689965.2062709332:We mu:2718.410435016267:我们 :done:
717474.1635229588:Thoug:3356.524547038134:尽管G:done:
734124.4323399663:Globa:1052.0053959917277:全球变:done:
739515.5436339378:It is:991.5198120288551:令人怀:done:
742067.1931699514:For i:2440.5629099928774:另一方:done:
746998.8348889351:Ronal:2380.558386037592:里根的:done:
749126.6450949907:On th:1165.1307150023058:表面上:done:
752186.6009149551:It ex:1105.2567799924873:它于2:done:
753071.1852679849:When :1876.9774420070462:当石油:done:
755158.9927969575:Moreo:4011.527836031746:此外,:done:
